Model,Layer,Top Features
gpt2,0,"[(13603, 0.11800210340879858), (8443, 0.047964779660105705), (11770, 0.04745914973318577), (11337, 0.041732706129550934), (4830, 0.04116315767168999)]"
gpt2,1,"[(1474, 1.133047342300415), (2136, 0.5252665430307388), (6180, 0.3717656451462972), (1307, 0.3536590039730072), (6503, 0.3512762784957886)]"
gpt2,2,"[(1307, 4.906744599342346), (3058, 4.379706621170044), (11778, 4.263720393180847), (17036, 3.535714626312256), (6851, 3.3901710510253906)]"
gpt2,3,"[(9242, 4.10380220413208), (7267, 4.011329174041748), (8102, 3.7976335287094116), (7340, 3.6995993852615356), (9549, 3.640935778617859)]"
gpt2,4,"[(776, 1.1656273379921913), (955, 0.9432362020015717), (8701, 0.9181484282016754), (2754, 0.8564646542072296), (15735, 0.7649707794189453)]"
gpt2,5,"[(1937, 3.6354860067367554), (7936, 3.3307952880859375), (18629, 2.7336997985839844), (15138, 2.3841718435287476), (8674, 2.3249608874320984)]"
gpt2,6,"[(20095, 3.8454610109329224), (20269, 3.4940621852874756), (4727, 3.388833522796631), (2913, 3.1038074493408203), (1472, 2.90020751953125)]"
gpt2,7,"[(3432, 5.696893215179443), (1074, 4.607981562614441), (9920, 4.111244320869446), (11708, 3.555500626564026), (13587, 3.4490203857421875)]"
gpt2,8,"[(17466, 3.7261359691619873), (733, 3.5670002698898315), (233, 3.0998276472091675), (5622, 2.9233235120773315), (17455, 2.903490662574768)]"
gpt2,9,"[(6527, 5.171834349632263), (9209, 4.230820298194885), (8764, 3.69803249835968), (11481, 3.497965097427368), (17447, 3.4954060316085815)]"
gpt2,10,"[(9070, 4.451968312263489), (8896, 4.134655237197876), (3116, 3.990342378616333), (10808, 3.7915565967559814), (5909, 3.6554083824157715)]"
gpt2,11,"[(11909, 3.864001750946045), (7338, 3.699645757675171), (1478, 3.616344451904297), (12280, 3.6095255613327026), (9242, 3.158013939857483)]"
pythia,0,"[(11940, 0.04598352313041687), (24328, 0.041071951389312744), (3659, 0.037653565406799316), (7070, 0.03690069913864136), (20704, 0.03674902021884918)]"
pythia,1,"[(29543, 0.23519249446690083), (2539, 0.19302186369895935), (15398, 0.13449786603450775), (21944, 0.11928696557879448), (18507, 0.11896338313817978)]"
pythia,2,"[(24641, 0.31867632269859314), (29022, 0.2753606983460486), (1907, 0.22613723576068878), (19930, 0.1703970655798912), (22304, 0.16783267259597778)]"
pythia,3,"[(20263, 0.3420596420764923), (5270, 0.21711835265159607), (32165, 0.187907520448789), (1780, 0.18684981763362885), (17146, 0.17702659592032433)]"
pythia,4,"[(21947, 0.6318859457969666), (24841, 0.626714825630188), (19864, 0.622340977191925), (986, 0.6039838790893555), (17172, 0.5977853536605835)]"
pythia,5,"[(2700, 1.0018393993377686), (863, 0.38661839067935944), (6083, 0.34316420555114746), (1887, 0.308847039937973), (2490, 0.30454325675964355)]"
